Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,7/12/2022,282682.62,AUD,Total Crane & Electrical Solutions,26 Octal Street Yatala QLD 4207,NO,NO,,,,,,,,,4502551893,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 TRAVEL AND TOURISM ACCESSIBLE BOARDING RAMP PROTOTYPE,3/03/2021,225000,AUD,Australian Marine & Civil,181 Bygotts Road Samford QLD 4500,YES,NO,,,,,,,,,CW2289640,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2019 NETWORK OPTIMISATION - TRENO,22/02/2019,208661.02,AUD,Laboratorio Di Ingegneria,C/O Studio Degrassi - Via Mazzin 20 Trieste TS 34121,YES,NO,,,,,,,,,CW2268403,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 CRR REQUIREMENTS ENGINEER - DOOR'S NEXT,12/07/2022,208000,AUD,SNC-Lavalin Rail & Transit Pty Limi,55 Clarence Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2301945,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,20/07/2022,207900,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502555402,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,21/07/2022,181610,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502555570,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,7/06/2022,146708.5,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,4502551086,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 OPEN SPACES MAINTENANCE CONTRACT - TOOWOOMBA,28/06/2022,138500,AUD,Total Building Maintenance-Qld,PO Box 381 Virginia QLD 4014,YES,NO,,,,,,,,,CW2301254,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/07/2022,133028.46,AUD,Bruman Rigging & Recovery,141 Enterprise Street Bohle QLD 4816,NO,NO,,,,,,,,,4502554691,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,7/06/2022,111320,AUD,Humes,59 Sugarmill Road Pinkenba QLD 4008,NO,NO,,,,,,,,,4502551001,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,19/07/2022,110000,AUD,Corbet Quarries Pty Ltd,3 Corbet Road Gympie QLD 4570,NO,NO,,,,,,,,,4502555069,,,,,
