Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLES,3/04/2019,104000,AUD,Zupps Aspley Pty Ltd,PO Box 19 Aspley QLD 4034,NO,NO,,,,,,,,,CW2300056,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/03/2022,101059.2,AUD,Harsco Rail Pty Ltd,PO Box 5287 Brendale QLD 4500,NO,NO,,,,,,,,,4502514553,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,21/03/2022,98062.5,AUD,The Phillips Group,549 Queen St Brisbane Fortitude Valley QLD 4000,NO,NO,,,,,,,,,CW2300046,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,14/03/2022,95975,AUD,Project Material Pty Ltd,18 Hinkler Court Brendale QLD 4500,NO,NO,,,,,,,,,4502514286,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,7/03/2022,91712.15,AUD,Sims Metal Limited,148 Dunn Road Rocklea QLD 4106,NO,NO,,,,,,,,,4502513351,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MATS HANDL EQUIP,4/03/2022,91300,AUD,Steamatic Pty Ltd,10/11 Walker Street Braeside VIC 3195,NO,NO,,,,,,,,,4502513014,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,28/03/2022,89540,AUD,Geoinventions Consulting,PO Box 2320 Eight Mile Plains QLD 4113,NO,NO,,,,,,,,,4502518866,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/03/2022,89452.96,AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502519136,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,16/03/2022,89410.2,AUD,Geoinventions Consulting,PO Box 2320 Eight Mile Plains QLD 4113,NO,NO,,,,,,,,,4502514808,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,18/03/2022,80795,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,4502515285,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/03/2022,74972.7,AUD,Envirowatt Pty Ltd,PO Box 3207 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502514161,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICES,30/05/2020,73000,AUD,Hudson Global Resources (Aust),20 Bond Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2287193,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",1/03/2022,72991.31,AUD,Diesel Engines and Spares,PO Box 338 Salisbury QLD 4107,NO,NO,,,,,,,,,4502512482,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,4/03/2022,72970.26,AUD,Allied Pickfords Pty Ltd,490 Freeman Road Richlands QLD 4077,NO,NO,,,,,,,,,4502513042,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/01/2022,72681.27,AUD,Onsite Rental Group,651 Johnson Road Forest Lake QLD 4078,YES,NO,,,,,,,,,4502496530,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/02/2022,71719.97,AUD,Hyteco (Aust) Pty Ltd,PO Box 5141 Brendale QLD 4500,YES,NO,,,,,,,,,4502504426,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,28/03/2022,70400,AUD,Austact,60 Zillmere Road Boondall QLD 4034,NO,NO,,,,,,,,,4502518843,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,10/03/2022,70000,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,NO,NO,,,,,,,,,CW2296838,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,29/03/2022,63427,AUD,SAT Pty Ltd,23 Narabang Way Belrose QLD 2085,NO,NO,,,,,,,,,4502518960,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY,16/03/2022,63305,AUD,Nomad Digital Pty Ltd,PO Box 7612 Cloisters Square WA 6850,NO,NO,,,,,,,,,4502514840,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,10/03/2022,62700,AUD,Hexels Energy Pty Ltd,720 Macarthur Avenue Pinkenba QLD 4008,NO,NO,,,,,,,,,4502513910,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE CONTAINER,10/03/2022,58289.55,AUD,Vansite Hire Pty Ltd,36 Ivan Street Arundel QLD 4214,NO,NO,,,,,,,,,4502513813,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/03/2022,57475,AUD,Alligator Mobile Welding,PO Box 476 Alligator Creek QLD 4816,NO,NO,,,,,,,,,4502515905,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,11/03/2022,55316.55,AUD,SAT Pty Ltd,23 Narabang Way Belrose QLD 2085,NO,NO,,,,,,,,,4502514079,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/03/2022,55000,AUD,Arup Pty Limited,108 Wickham Street Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502512970,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,23/03/2022,50167.43,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502515846,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","DESIGN, ARCHITECTURE & CERTIFICATION",10/03/2022,50000,AUD,Arcadis Australia Pacific Pty Ltd,580 George Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2297843,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/03/2022,49500,AUD,Davidson Executive and Boards Pty L,GPO Box 2572 Brisbane QLD 4001,NO,NO,,,,,,,,,4502513384,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,21/03/2022,47223,AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,4502515495,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/03/2022,45100,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,4502515761,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,4/03/2022,44000,AUD,Corbet Quarries Pty Ltd,3 Corbet Road Gympie QLD 4570,NO,NO,,,,,,,,,4502513096,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/03/2022,41800,AUD,Warp QLD Pty Ltd,1/23 Darnick Street Underwood QLD 4119,NO,NO,,,,,,,,,4502514086,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,3/03/2022,41096,AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502512761,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,3/03/2022,40920,AUD,CMC Plant Hire Pty Ltd,PO Box 146 Maryborough QLD 4650,NO,NO,,,,,,,,,4502512948,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/03/2022,40555.9,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502518806,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,24/03/2022,40326,AUD,Total Crane & Electrical Solutions,26 Octal Street Yatala QLD 4207,NO,NO,,,,,,,,,4502516027,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,7/03/2022,39797.34,AUD,Bretts Pty Limited,142 Newmarket Road Windsor QLD 4030,NO,NO,,,,,,,,,4502513139,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/03/2022,39657.2,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502518078,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,3/03/2022,39011.85,AUD,ZF Services Australia Pty Ltd,13 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,4502512812,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,31/03/2022,38500,AUD,Visionstream Pty Ltd,PO Box L/BAG 3 East Bentleigh VIC 3165,NO,NO,,,,,,,,,4502521392,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/01/2022,38078.26,AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,YES,NO,,,,,,,,,4502497968,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FEASIBILITY & APPRAISAL,24/02/2021,37370,AUD,Cox Achitecture Pty Ltd,"Level 2, 2 Edward Street Brisbane QLD 4000",YES,NO,,,,,,,,,CW2290870,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/03/2022,36080,AUD,The University of Queensland,J D Story Building St Lucia QLD 4072,NO,NO,,,,,,,,,4502513779,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,30/03/2022,36069,AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,4502521116,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,9/03/2022,35666.4,AUD,Computer Alliance Pty Ltd,PO Box 75 Mount Gravatt QLD 4122,NO,NO,,,,,,,,,4502513721,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,2/03/2022,35635.6,AUD,SkillsTech Australia,247 Bradman Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502512730,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/03/2022,35003.1,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,4502514124,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/03/2022,34100,AUD,The Rix Group Pty Ltd,25 Bourke Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,4502513856,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,16/03/2022,33647.9,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502514767,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,15/03/2022,33528,AUD,RedCat Pty Ltd,70 Park Street South Melbourne VIC 3205,NO,NO,,,,,,,,,4502514485,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/03/2022,33000,AUD,The Rix Group Pty Ltd,25 Bourke Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,4502513298,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,12/08/2021,33000,AUD,Australian Business Lawyers,140 Arthur Street North Sydney QLD 2060,YES,NO,,,,,,,,,4502452847,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/01/2022,32545.7,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,YES,NO,,,,,,,,,4502500205,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/03/2022,32393.5,AUD,Warp QLD Pty Ltd,1/23 Darnick Street Underwood QLD 4119,NO,NO,,,,,,,,,4502513770,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/03/2022,31680,AUD,Hitachi Rail STS Australia Pty Ltd,PO Box 1168 Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502512741,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,1/03/2022,31482,AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,4502512452,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,29/03/2022,30800,AUD,Warp QLD Pty Ltd,1/23 Darnick Street Underwood QLD 4119,NO,NO,,,,,,,,,4502519100,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,30/03/2022,30558,AUD,Weseal Pty Ltd,7 Carroll Street Garbutt QLD 4814,NO,NO,,,,,,,,,4502521127,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE CONTAINER,10/03/2022,30470.55,AUD,Vansite Hire Pty Ltd,36 Ivan Street Arundel QLD 4214,NO,NO,,,,,,,,,4502513840,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,28/02/2022,30179.66,AUD,Generator Hire Services,18 Bivouac Place Wacol QLD 4076,YES,NO,,,,,,,,,4502512221,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,25/03/2022,30096,AUD,Total Building Maintenance-Qld,PO Box 381 Virginia QLD 4014,NO,NO,,,,,,,,,4502516308,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,14/03/2022,28336,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502514263,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000", BLDG WORKS CONTRACT,31/03/2022,28050,AUD,Blanco's Carpentry,522 Baillies Road Upperstone QLD 4850,NO,NO,,,,,,,,,4502521405,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,17/11/2021,27500,AUD,Assured Rail Projects Pty Ltd,26 Macpherson Street Warriewood NSW 2012,YES,NO,,,,,,,,,4502480954,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,8/03/2022,27445,AUD,NorthGroup Consulting,32 Billabong Street Stafford QLD 4053,NO,NO,,,,,,,,,4502513564,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/03/2022,27181,AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502521058,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,23/03/2022,27170,AUD,Remedial Building Technicians Pty L,PO Box 1802 Oxenford QLD 4210,NO,NO,,,,,,,,,4502515916,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/03/2022,26978.6,AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502521115,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",18/03/2022,26950,AUD,Bundy Diesel Specialists,PO Box 3098 Bundaberg QLD 4670,NO,NO,,,,,,,,,4502515287,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OFFICE MACHINE/EQUIP,24/03/2022,26884,AUD,Pro AV Solutions (QLD),PO Box 2722 Toowong QLD 4066,NO,NO,,,,,,,,,4502516032,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,22/03/2022,26400,AUD,Mode,PO Box 348 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502515598,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ENGINES, TURB & COMP",24/03/2022,26222.46,AUD,White Industries,PO Box 350 Dalby QLD 4405,NO,NO,,,,,,,,,4502516061,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/03/2022,26169.22,AUD,All Rail Services Pty Ltd,12 Banka Avenue Jacobs Well QLD 4208,NO,NO,,,,,,,,,4502521138,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,18/03/2022,26020.41,AUD,Delsound Pty Ltd,58 Holdsworth Street Coorparoo QLD 4151,NO,NO,,,,,,,,,4502515330,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/03/2022,25885.2,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,4502514366,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/03/2022,25811.37,AUD,Appleton SST Pty Ltd,PO Box 7254 Garbutt QLD 4814,NO,NO,,,,,,,,,4502514135,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/03/2022,25527.26,AUD,SMC Corporation (Australia) Pty Ltd,17 Shannon Place Virginia QLD 4014,NO,NO,,,,,,,,,4502516007,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/03/2022,25174.6,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502512385,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/03/2022,25041.5,AUD,Grazing Pines,337 Pilerwa Road Mungar QLD 4650,NO,NO,,,,,,,,,4502514721,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,3/03/2022,24992,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502512759,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,9/03/2022,24948.55,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4050449962,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV & TRADE EQUIP,9/03/2022,24868.8,AUD,Hylec Energy Solutions,PO Box 2209 Tingalpa QLD 4173,NO,NO,,,,,,,,,4502513627,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING EQUIP & SUP,11/03/2022,24714.8,AUD,Graffiti - Enz,194 Breakfast Creek Road Newstead QLD 4006,NO,NO,,,,,,,,,4502514155,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/03/2022,24636.7,AUD,Bassett Furniture Pty Ltd,55A Moxon Road Punchbowl NSW 2196,NO,NO,,,,,,,,,4502515686,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","DESIGN, ARCHITECTURE & CERTIFICATION",11/03/2022,24574,AUD,Rapid Capture,14 Genevieve Court Wellington Point QLD 4160,NO,NO,,,,,,,,,CW2299995,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/03/2022,24567.4,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502515334,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,18/03/2022,24485.41,AUD,Rail & Civil Group,81 Sherwood Road Rocklea QLD 4106,NO,NO,,,,,,,,,4502515360,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,24/03/2022,24475,AUD,Cubis Systems,73 Ballarat - Carngham Road Winter Valley VIC 3358,NO,NO,,,,,,,,,4502516035,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/03/2022,24446.58,AUD,Benchmark Scaffolding & Edge Protec,8-12 Webb Drive Mount St John QLD 4818,NO,NO,,,,,,,,,4502512562,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/03/2022,24398.06,AUD,Sigra Technology,32 Jack Williams Drive Penrith NSW 2750,NO,NO,,,,,,,,,4502513163,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,31/03/2022,24200,AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502521448,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MEDICAL SUPPLIES,23/03/2022,24090,AUD,Provide First Aid Gold Coast,3051-3029 The Boulevard Carrara QLD 4211,NO,NO,,,,,,,,,4502515775,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HAND TOOLS,24/03/2022,24024,AUD,The Energy Network,PO Box 851 Banyo QLD 4014,NO,NO,,,,,,,,,4502516172,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,30/03/2022,23961.3,AUD,Ulex Constructions Pty Ltd,PO Box 1129 Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502521146,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,21/03/2022,23760,AUD,Advantech Australia Pty Ltd,3 Southpark Close Keysborough VIC 3173,NO,NO,,,,,,,,,4502515376,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/03/2022,23473.18,AUD,Sigra Technology,32 Jack Williams Drive Penrith NSW 2750,NO,NO,,,,,,,,,4502515730,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HAND TOOLS,28/03/2022,23412.4,AUD,Trade Tools Pty Ltd,466 Newman Road Geebung QLD 4034,NO,NO,,,,,,,,,4502516481,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,31/03/2022,23175.9,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502521346,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,18/03/2022,22924,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502515175,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,8/02/2022,22749.32,AUD,BP Australia Pty Ltd,701 Kingsford Smith Drive Whinstanes QLD 4007,YES,NO,,,,,,,,,4502504696,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,16/03/2022,22605,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502514696,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TIMBR PLYWOOD VENEER,17/03/2022,22440,AUD,Enrights Sawmill Pty Ltd,144 Brisbane Street Beaudesert QLD 4285,NO,NO,,,,,,,,,4502515108,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/03/2022,22011,AUD,Benbro Electronics,23 Chard Road Brookvale NSW 2100,NO,NO,,,,,,,,,4502513335,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,15/03/2022,22000,AUD,Plus Systems,46 Wharf Street Kangaroo Point QLD 4169,NO,NO,,,,,,,,,4502514623,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONFERENCES,29/03/2022,22000,AUD,Sofitel Brisbane Central,249 Turbot Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502519097,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/03/2022,21778.9,AUD,A2O Traffic Solutions,PO Box 747 Deeragun QLD 4818,NO,NO,,,,,,,,,4502514645,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/03/2022,21707.7,AUD,Jada Excavations Pty Ltd,2 McLean Street Pittsworth QLD 4356,NO,NO,,,,,,,,,4502512538,,,,,
