control,from,to,freight up pass to pass,freight up pass to stop,freight up start to pass,freight up start to stop,freight down pass to pass,freight down pass to stop,freight down start to pass,freight down start to stop,cattle pass to pass,cattle pass to stop,cattle start to pass,cattle start to stop,coal pass to pass,coal pass to stop,coal start to pass,coal start to stop,freight 60k pass to pass,freight 60k pass to stop,freight 60k start to pass,freight 60k start to stop,freight 80k pass to pass,freight 80k pass to stop,freight 80 start to pass,freight 80k start to stop,tilt train up pass to pass,tilt train up pass to stop,tilt train up start to pass,tilt train up start to stop,tilt train down pass to pass,tilt train down pass to stop,tilt train down start to pass,tilt train down start to stop,livestock up pass to pass,livestock down pass to pass
,Elalie,Carmila,14,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elliott,Bundaberg,12,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emerald,Taroborah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25
,Emerald,Yamboyna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23
,Erakala,Farleigh,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erakala,Mackay Harbour,17,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eumundi,Sunrise,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL,FROM,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Farleigh,Aminungo,11,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flinders,Berajondo,10,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flynn,Duchess,16,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Forest Hill,Gatton,,,,,,,,,7,9,10,12,10,12,13,15,7,9,10,12,,,,,,,,,,,,,,
Brisbane West,Forest Hill,Laidley,,,,,,,,,5,7,8,10,9,11,12,14,5,7,8,10,,,,,,,,,,,,,,
,Freshwater,Redlynch,4,6,7,9,4,6,7,9,,,,,,,,,,,,,,,,,3,4,5,6,3,4,5,6,,
,Frewhurst,Mt Surprise,,,,,,,,,,,,,,,,,,,,,,,,,29,30,31,32,43,44,45,46,,
,Garbutt,Bohle Industrial Siding,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Gatton,Forest Hill,,,,,,,,,7,9,10,12,9,11,12,14,7,9,10,12,,,,,,,,,,,,,,
Brisbane West,Gatton,Grantham,,,,,,,,,9,11,12,14,10,12,13,15,9,11,12,14,,,,,,,,,,,,,,
,Gelaro,Bullock Creek,,,,,,,,,,,,,,,,,,,,,,,,,30,31,32,33,40,41,42,43,,
,Gemoka,Maxwelton,34,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gilliat,Tibarri,28,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giru,Cromarty,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giru,Invicta (Giru) Sugar Mill,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glanmire,Gympie North,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glen Geddes,Kunwarara,15,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glenmore Junction,Parkhurst,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Glenmorgan,Meandarra,,,,,,,,,,,,,,,,35,37,38,40,,,,,,,,,,,,,,,
,Goodwood,Kinkuna,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goondiwindi,Carrington Cotton Siding,,,,,,,,,,,,,,,,,15,17,18,20,15,17,18,20,14,15,16,17,14,15,16,17,,
,Goondiwindi,Gooray,,,,,,,,,,,,,,,,,32,34,34,35,32,34,34,35,,,,,,,,,,
,Goondiwindi,Toobeah,,,,,,,,,,,,,,,,,65,67,68,70,65,67,68,70,,,,,,,,,,
,Gooray,Goondiwindi,,,,,,,,,,,,,,,,,32,34,34,35,32,34,34,35,,,,,,,,,,
,Gooray,Toobeah,,,,,,,,,,,,,,,,,33,33,34,35,33,33,34,35,,,,,,,,,,
,Gordonvale,Kamma,7,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gore,Cobba-da-mana,,,,,,,,,,,,,,,,,40,42,43,45,40,42,43,45,32,33,34,35,32,33,34,35,,
,Gore,Karara,,,,,,,,,,,,,,,,,27,29,30,32,27,29,30,32,27,28,29,30,27,28,29,30,,
,Gore,Yuraraba,,,,,,,,,,,,,,,,,28,28,29,30,28,29,29,31,,,,,,,,,,
Brisbane Far West,Gowrie,Kingsthorpe,,,,,,,,,,,,,12,14,15,17,13,15,16,18,,,,,,,,,,,,,,
Brisbane Far West,Gowrie,Willowburn,,,,,,,,,20,22,23,25,20,22,23,25,18,20,21,23,,,,,,,,,,,,,,
,Gradule,Talwood,,,,,,,,,,,,,,,,,37,39,40,42,37,39,40,42,,,,,,,,,,
,Gradule,Thallon,,,,,,,,,,,,,,,,,51,53,54,56,51,53,54,56,,,,,,,,,,
,Gradule B-Daymar 1,26,,,,,,,,,,,,,,,,,27,27,28,26,26,27,28,,,,,,,,,,,
Brisbane West,Grandchester,Rosewood,,,,,,,,,11,13,14,16,12,14,15,17,11,13,14,16,,,,,,,,,,,,,,
Brisbane West,Grandchester,Yarongmulu,,,,,,,,,15,17,18,20,17,19,20,22,15,17,18,20,,,,,,,,,,,,,,
Brisbane West,Grantham,Gatton,,,,,,,,,9,11,12,14,12,14,15,17,9,11,12,14,,,,,,,,,,,,,,
Brisbane West,Grantham,Helidon,,,,,,,,,9,11,12,14,13,15,16,18,9,11,12,14,,,,,,,,,,,,,,
,Greenmount,Cambooya,,,,,,,,,,,,,,,,,14,16,17,19,14,16,17,19,14,15,16,17,14,15,16,17,,
,Greenmount,Nobby,,,,,,,,,,,,,,,,,11,13,14,16,11,13,14,16,11,12,13,14,11,12,13,14,,
Brisbane Far West,Guluguba,Kowguran,,,,,,,,,,,,,,,,41,43,44,46,,,,,,,,,,,,,,,
Brisbane Far West,Guluguba,Wandoan,,,,,,,,,28,30,31,33,,,,28,30,31,33,,,,,,,,,,,,,,,
,Gumlu,Bobawaba,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gundiah,Netherby,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guthalungra,Gumlu,13,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gympie North,Gympie,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gympie North,Tamaree,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Harlaxton,Rangeview,,,,,,,,,4,6,7,9,10,12,13,15,4,6,7,9,,,,,,,,,,,,,,
Brisbane West,Harlaxton,Toowoomba,,,,,,,,,7,9,10,12,9,11,12,14,7,9,10,12,,,,,,,,,,,,,,
Brisbane West,Harristown,Wyreema,,,,,,,,,,,,,,,,16,17,18,20,21,16,18,19,21,16,17,18,19,16,17,18,19,,
,Harvey's Siding,Curra,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Helidon,Grantham,,,,,,,,,9,11,12,14,11,13,14,16,9,11,12,14,,,,,,,,,,,,,,
Brisbane West,Helidon,Lockyer,,,,,,,,,12,14,15,17,11,13,14,16,12,14,15,17,,,,,,,,,,,,,,
,Hendon,Clifton,,,,,,,,,,,,,,,,,20,22,23,25,20,22,23,25,20,21,22,13,20,21,22,13,,
,Hendon,Toolburra,,,,,,,,,,,,,,,,,18,20,21,23,18,20,21,23,21,22,23,24,21,22,23,24,,
,Hewitt,Tully,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hinchinbrook,Conn,15,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Hodgson,Muckadilla,,,,,,,,,21,23,24,26,,,,22,24,25,27,,,,,,,,,,,,,,,
Brisbane Far West,Hodgson,Roma,,,,,,,,,32,34,35,37,25,27,28,30,25,27,28,30,,,,,,,,,,,,,,
Brisbane West,Holmes,Murphys Creek,,,,,,,,,20,22,23,25,27,29,30,32,20,22,23,25,,,,,,,,,,,,,,
Brisbane West,Holmes,Spring Bluff,,,,,,,,,17,19,20,22,17,19,20,22,17,19,20,22,,,,,,,,,,,,,,
,Home Hill,Ayr,13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home Hill,Carstairs,15,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Homestead,Pentland,42,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Howard,Wokka,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hughenden,Boree,33,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilbilbie,Koumala,14,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilfracombe,Longreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28
,Ingham,Hinchinbrook,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inglewood,Cobba-da-mana,,,,,,,,,,,,,,,,,20,22,23,25,20,22,23,25,19,20,21,22,19,20,21,22,,
,Inglewood,Whetstone,,,,,,,,,,,,,,,,,20,22,23,25,20,22,23,25,19,20,21,22,19,20,21,22,,
,Inkerman,Home Hill,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Innisfail,Waugh,21,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Irkanda,Netley,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isis Junction,Goodwood,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iveragh,Benaraby,16,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Jackson,Dulacca,,,,,,,,,14,16,17,19,16,18,19,21,16,18,19,21,,,,,,,,,,,,,,
