Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,20/02/2020,22016.5,AUD,Jordan Rail Pty Ltd,PO Box 806 Sunbury VIC 3429,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,9/07/2019,22000,AUD,Mitez Inc,PO Box 1258 Mount Isa QLD 4825,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",24/07/2019,22000,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CHEMS AND GASES,15/08/2019,22000,AUD,Elgas Payments,PO Box 2706 Sydney NSW 1123,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,27/08/2019,22000,AUD,Ecospill Pty Ltd,PO Box 5592 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/09/2019,22000,AUD,APRA AMCOS,16 Mountain Road Ultimo NSW 2007,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,9/09/2019,22000,AUD,Sunlover Holidays Pty Ltd,179 Normanby Road South Melbourne VIC 3205,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/10/2019,22000,AUD,Meales Concrete Pumping Brisbane Pt,113 Oakwal Lane Windsor QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,20/11/2019,22000,AUD,K and G Machinery Pty Ltd,9 May Road Wamuran QLD 4512,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/12/2019,22000,AUD,Meales Concrete Pumbing Wide Bay Pt,26 Kerryl Street Kunda Park QLD 4556,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",13/12/2019,22000,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,20/12/2019,22000,AUD,Energex,46 Blinzinger Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/03/2020,22000,AUD,Westray Engineering,PO Box 2222 Caringbah NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RECREATIONAL EQUIP,9/03/2020,22000,AUD,Arctic Ice Service Pty Ltd,23 Dulacca Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,23/04/2020,22000,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,8/05/2020,22000,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/03/2020,21979.1,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,23/03/2020,21979.1,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/05/2020,21979.1,AUD,Environmental Earth Sciences Qld,PO Box 3207 Newstead QLD 4006,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/09/2019,21960.4,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/08/2019,21939.5,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/04/2020,21915.3,AUD,Narm Rubber Products Brisbane,37 Timms Road Everton Hills QLD 4053,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,21/05/2020,21912,AUD,Thompson's Grader Hire,PO Box 110 Inglewood QLD 4387,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,24/02/2020,21904.74,AUD,Grazing Pines,337 Pilerwa Road Mungar QLD 4650,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,22/08/2019,21890,AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/09/2019,21890,AUD,Allmet Engineering C/-Allmet,40 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,27/03/2020,21890,AUD,AP One Time Vendor,Address not available in source data,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,3/06/2020,21889.89,AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,10/07/2019,21880.32,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,30/10/2019,21873.5,AUD,Locate And Detection Specialists Pt,4 Palmerston Drive Oxenford QLD 4210,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,24/12/2019,21854.69,AUD,Grosvenor Engineering Group Pty Ltd,30 Garema Circuit Kingsgrove NSW 2207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/05/2017,21852.8,AUD,Ranbury Management Group Pty Ltd,270 Adelaide Street Brisbane QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,18/05/2020,21851.06,AUD,Statewide Bearings,90 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ENGINES, TURB & COMP",6/11/2019,21791.75,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,24/07/2019,21783.17,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/08/2019,21782.29,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TEXTILES & TENTS,26/11/2019,21780,AUD,Coman Textiles Pty Ltd,PO Box 485 Springwood QLD 4127,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,10/06/2020,21780,AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,11/02/2020,21767.33,AUD,Statewide Bearings,90 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/12/2019,21766.8,AUD,Voestalpine Railway Systems,PO Box 391 Mackay QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/04/2020,21758,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/07/2019,21751.4,AUD,Envirowatt Pty Ltd,PO Box 3207 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/08/2019,21751.4,AUD,Envirowatt Pty Ltd,PO Box 3207 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/09/2019,21751.4,AUD,Envirowatt Pty Ltd,PO Box 3207 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/02/2020,21751.4,AUD,Envirowatt Pty Ltd,PO Box 3207 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,16/07/2019,21734.53,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/11/2019,21725,AUD,Premis Solutions,PO Box 114 Toowong QLD 4066,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,18/05/2020,21725,AUD,Holovision 3D Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/05/2020,21725,AUD,Yamate Pty Ltd,PO Box 191 Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,9/06/2020,21721.43,AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/12/2019,21719.5,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,19/07/2019,21714,AUD,Hage Hydraulic Design Consultants,1050 Manly Road Tingalpa QLD 4173,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/06/2020,21683.2,AUD,East Coast Cranes Pty Ltd,64 Burnside Road Ormeau QLD 4208,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,28/01/2020,21675.2,AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,3/03/2020,21670,AUD,Brisbane Power Poles Pty Ltd,20 Horizon Drive Beenleigh QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FURNITURE,11/03/2020,21670,AUD,UCI (Qld) Pty Ltd,3 Primrose Street Bowen Hills QLD 4006,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,29/11/2019,21634.8,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,20/09/2019,21634.38,AUD,Scope Cranes & Logistics,Building 3B - 420 Bilsen Road Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/06/2020,21598.5,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/06/2020,21598.5,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,13/03/2020,21556.7,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,20/03/2020,21543.41,AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/09/2019,21507.5,AUD,Instyle Contract,6 Ricketty Street Mascot NSW 2020,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/03/2020,21507.2,AUD,Pandrol Australia Pty Ltd,7 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/06/2016,21500,AUD,DWF (Australia),123 Eagle Street Brisbane QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/04/2020,21498.9,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,30/01/2020,21450,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,16/01/2020,21436.58,AUD,Data #3 Limited,67 High Street Toowong QLD 4066,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,15/01/2020,21424.48,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/03/2020,21409.3,AUD,Colas Queensland Pty Ltd TA,PO Box 1481 Dundowran QLD 4655,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,8/08/2019,21374.93,AUD,University Paton Instruments Pty Lt,86 Forsyth Street OConnor WA 6163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/11/2019,21367.5,AUD,The Traffic Design Company,97A Kate Street Woody Point QLD 4019,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/11/2019,21367.5,AUD,The Traffic Design Company,97A Kate Street Woody Point QLD 4019,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPERATIONS TRAVELTRA,7/01/2020,21331.13,AUD,Tex Onsite Pty Ltd,28 Corporate Boulevard Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",28/01/2020,21316.26,AUD,Tonkin Steel,PO Box 857 Cairns QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,5/06/2019,21308.65,AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MATS HANDL EQUIP,24/06/2020,21301.5,AUD,Harsco Rail Pty Ltd,PO Box 5287 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,4/06/2020,21283.9,AUD,Kelly Green & Co,65 Enterprise Street Kunda Park QLD 4556,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/02/2020,21265.66,AUD,CJD Equipment Pty Ltd,36 Colebard Street East Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,12/05/2020,21257.93,AUD,Corporate Initiatives Australia Pty,PO Box 105 Nunawading VIC 3131,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,9/07/2019,21175,AUD,Professional Development Training P,201/21 Mary Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL CRUDE MATLS,7/11/2019,21154.32,AUD,Wagners Quarries Pty Ltd,PO Box 151 Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/08/2019,21142,AUD,SS Signs & Vehicle Wraps,47 Enterprise Street Cleveland QLD 4163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,6/03/2020,21128.75,AUD,GRASP Electrical,20 Watts Road Gracemere QLD 4702,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,24/07/2019,21128.03,AUD,Colas Queensland Pty Ltd TA,PO Box 1481 Dundowran QLD 4655,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,4/06/2020,21125.5,AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,1/08/2019,21120,AUD,Allroad Surfaces Pty Ltd,81 Dean Road Verrierdale QLD 4562,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,28/05/2020,21110.49,AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,4/06/2020,21095.8,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/02/2020,21089.81,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,18/11/2019,21076,AUD,Niche Environment & Heritage Pty Lt,PO Box W36 Parramatta NSW 2150,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/04/2020,21054.31,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,29/04/2020,21037.5,AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FURNITURE,1/06/2020,21018.8,AUD,BAC Systems Pty Limited,195 Power Street Glendenning NSW 2761,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/01/2020,21010,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PHOTOGRAPHIC EQUIP,5/04/2019,21000,AUD,Blackbox,23/17 Cairns Street Loganholme QLD 4129,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,17/10/2019,21000,AUD,WH&S More Skills,PO Box 56 Salisbury QLD 4107,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,4/11/2019,20989.65,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/07/2019,20971.5,AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,5/09/2019,20966,AUD,Videopro,37 Eagleview Place Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,24/04/2020,20966,AUD,Jakes Technical Services,6 Serendipity Drive Samford QLD 4520,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/03/2020,20963.25,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,4/11/2019,20900,AUD,Queensland Air Compressors,PO Box 8117 Bungalow QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/11/2019,20900,AUD,Greg Sewell Forgings Pty Ltd,PO Box 199 Campbellfield VIC 3061,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DATA PROCESSNG EQUIP,23/10/2019,20886.8,AUD,Noise & Vibration Measurement,433 Vincent Street West West Leederville WA 6007,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,8/07/2019,20858.63,AUD,Tex Onsite Pty Ltd,28 Corporate Boulevard Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,5/11/2019,20834,AUD,Innotech Control Systems Aust,12 McKechnie Drive Eight Mile Plains QLD 4113,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,23/07/2019,20824.1,AUD,Coops (Qld) Constructions Pty Ltd,PO Box 422 Oakey QLD 4401,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/06/2020,20801,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,21/05/2020,20790,AUD,Austek Asphalt Services Pty Ltd,32 Grice Street Clontarf QLD 4019,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,19/06/2020,20768,AUD,Mobility Rentals & Sales Southside,22/170 North Road Woodridge QLD 4114,NO,NO,,,,,,,,,,,,,
