Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,12/03/2020,11322.43,AUD,Enersys Australia Pty Ltd,46 Egerton Street Silverwater QLD 2128,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,24/03/2020,11322.43,AUD,Enersys Australia Pty Ltd,46 Egerton Street Silverwater QLD 2128,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,9/10/2019,11319,AUD,Environdata Weather,PO Box 395 Warwick QLD 4370,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",5/08/2019,11307.78,AUD,Direct Steel Supplies,PO Box 425 Ipswich QLD 4305,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/09/2019,11305.01,AUD,Vertiv (Australia) Pty Ltd,50 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,8/05/2020,11289.93,AUD,Electrical Workshop Australia Pty L,10 Barnett Place Molendinar QLD 4214,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,18/05/2020,11285.78,AUD,Schweitzer Engineering,98A Bell Street Preston VIC 3072,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,5/08/2019,11278.38,AUD,Cummins South Pacific Pty Ltd,39-53 Ron Boyle Crescent Carole Park QLD 4300,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/01/2020,11273.96,AUD,Sicame Australia Pty Ltd,25 Union Circuit Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,24/02/2020,11226.33,AUD,Universal Cranes,3-9 Horwood Street Currajong QLD 4812,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,27/03/2020,11220,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,15/10/2019,11214.06,AUD,Statewide Bearings,90 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,23/10/2019,11209.09,AUD,Enersys Australia Pty Ltd,46 Egerton Street Silverwater QLD 2128,NO,NO,,,,,,,,,,,,,
